,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
0,Afghanistan,7/15/20,46,4/6/20,6.0,13.0,100,2020-08-18,35,2.0,3
1,Albania,7/25/20,6,3/30/20,4.0,67.0,117,2020-08-18,25,1.0,2
2,Algeria,4/9/20,30,3/20/20,10.0,34.0,20,2020-08-18,132,1.0,2
3,Andorra,3/31/20,4,3/31/20,0.0,2.0,0,2020-08-18,141,1.0,4
4,Angola,7/28/20,6,6/28/20,2.0,36.0,30,2020-08-18,22,3.0,3
5,Antigua and Barbuda,4/7/20,1,1/22/20,1.0,100.0,76,2020-08-18,134,0.0,2
6,Argentina,8/11/20,240,3/27/20,149.0,62.0,137,2020-08-18,8,5.0,1
7,Armenia,6/2/20,19,4/10/20,5.0,25.0,53,2020-08-18,78,1.0,2
8,Australia,8/16/20,25,3/26/20,15.0,58.0,143,2020-08-18,3,14.0,1
9,Austria,4/8/20,30,3/22/20,1.0,2.0,17,2020-08-18,133,1.0,4
10,Azerbaijan,7/21/20,13,4/11/20,3.0,21.0,101,2020-08-18,29,3.0,3
11,Bahamas,4/4/20,3,4/23/20,0.0,13.0,-19,2020-08-18,137,1.0,2
12,Bahrain,6/18/20,6,5/15/20,2.0,28.0,34,2020-08-18,62,1.0,2
13,Bangladesh,6/30/20,64,4/6/20,37.0,58.0,85,2020-08-18,50,1.0,2
14,Barbados,4/5/20,1,1/22/20,1.0,100.0,74,2020-08-18,136,0.0,2
15,Belarus,5/12/20,7,4/6/20,3.0,44.0,36,2020-08-18,99,1.0,2
16,Belgium,4/10/20,496,3/18/20,7.0,1.0,23,2020-08-18,131,1.0,4
17,Belize,4/6/20,1,1/22/20,0.0,13.0,75,2020-08-18,135,1.0,2
18,Benin,6/15/20,3,6/18/20,0.0,7.0,-3,2020-08-18,65,1.0,4
19,Bhutan,1/22/20,0,1/22/20,1.0,,0,2020-08-18,210,,1
20,Bolivia,8/4/20,92,4/6/20,63.0,68.0,120,2020-08-18,15,2.0,3
21,Bosnia and Herzegovina,8/10/20,31,3/31/20,9.0,29.0,132,2020-08-18,9,8.0,1
22,Botswana,3/31/20,1,1/22/20,0.0,7.0,69,2020-08-18,141,1.0,4
23,Brazil,7/29/20,1595,3/20/20,1015.0,64.0,131,2020-08-18,21,2.0,2
24,Brunei,3/28/20,1,1/22/20,1.0,100.0,66,2020-08-18,144,0.0,2
25,Bulgaria,8/3/20,16,4/3/20,8.0,48.0,122,2020-08-18,16,3.0,3
26,Burkina Faso,4/8/20,4,3/28/20,0.0,3.0,11,2020-08-18,133,1.0,4
27,Burma,4/8/20,2,1/22/20,1.0,50.0,77,2020-08-18,133,0.0,2
28,Burundi,4/13/20,1,1/22/20,1.0,100.0,82,2020-08-18,128,0.0,2
29,Cabo Verde,6/30/20,3,6/27/20,1.0,24.0,3,2020-08-18,50,2.0,2
30,Cambodia,1/22/20,0,1/22/20,1.0,,0,2020-08-18,210,,1
31,Cameroon,6/15/20,64,4/10/20,1.0,2.0,66,2020-08-18,65,2.0,4
32,Canada,4/16/20,251,3/20/20,6.0,3.0,27,2020-08-18,125,1.0,4
33,Central African Republic,6/16/20,7,6/16/20,0.0,2.0,0,2020-08-18,64,2.0,4
34,Chad,5/7/20,10,5/5/20,0.0,1.0,2,2020-08-18,104,1.0,4
35,Chile,7/17/20,1057,3/31/20,56.0,5.0,108,2020-08-18,33,3.0,4
36,China,4/17/20,1290,1/22/20,2.0,0.0,86,2020-08-18,124,1.0,4
37,Colombia,7/29/20,380,3/30/20,307.0,81.0,121,2020-08-18,21,1.0,2
38,Comoros,6/18/20,2,1/22/20,1.0,50.0,148,2020-08-18,62,1.0,2
39,Congo (Brazzaville),8/16/20,16,5/11/20,1.0,8.0,97,2020-08-18,3,31.0,4
40,Congo (Kinshasa),5/16/20,11,4/2/20,2.0,17.0,44,2020-08-18,95,1.0,2
41,Costa Rica,8/7/20,18,6/8/20,10.0,53.0,60,2020-08-18,12,4.0,1
42,Cote d'Ivoire,4/21/20,4,4/21/20,1.0,13.0,0,2020-08-18,120,1.0,2
43,Croatia,4/19/20,8,4/4/20,1.0,11.0,15,2020-08-18,122,1.0,2
44,Cuba,4/24/20,6,4/7/20,0.0,2.0,17,2020-08-18,117,1.0,4
45,Cyprus,3/24/20,2,4/3/20,0.0,3.0,-10,2020-08-18,148,1.0,4
46,Czechia,4/14/20,18,3/28/20,1.0,7.0,17,2020-08-18,127,1.0,4
