,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
0,Afghanistan,6/5/20,915,3/14/20,85.0,9.0,83,2020-08-03,60,2.0,4
1,Albania,7/26/20,126,3/11/20,102.0,81.0,137,2020-08-03,9,2.0,1
2,Algeria,7/24/20,675,3/4/20,593.0,88.0,142,2020-08-03,11,1.0,1
3,Andorra,6/2/20,79,3/17/20,4.0,5.0,77,2020-08-03,63,2.0,4
4,Angola,8/3/20,81,4/5/20,38.0,47.0,120,2020-08-03,1,53.0,1
5,Antigua and Barbuda,6/25/20,39,4/3/20,1.0,3.0,83,2020-08-03,40,2.0,4
6,Argentina,7/30/20,6377,3/8/20,5333.0,84.0,144,2020-08-03,5,3.0,1
7,Armenia,6/25/20,771,3/14/20,282.0,37.0,103,2020-08-03,40,2.0,2
8,Australia,7/29/20,716,2/1/20,444.0,62.0,179,2020-08-03,6,6.0,1
9,Austria,3/26/20,1321,3/1/20,115.0,9.0,25,2020-08-03,131,1.0,4
10,Azerbaijan,6/24/20,590,3/10/20,344.0,58.0,106,2020-08-03,41,1.0,2
11,Bahamas,7/31/20,66,3/29/20,35.0,53.0,124,2020-08-03,4,12.0,1
12,Bahrain,6/15/20,786,2/25/20,361.0,46.0,111,2020-08-03,50,1.0,2
13,Bangladesh,7/2/20,4019,3/18/20,2505.0,62.0,106,2020-08-03,33,1.0,2
14,Barbados,4/2/20,12,3/22/20,2.0,15.0,11,2020-08-03,124,1.0,2
15,Belarus,4/29/20,973,3/12/20,138.0,14.0,48,2020-08-03,97,1.0,2
16,Belgium,4/15/20,2454,3/3/20,441.0,18.0,43,2020-08-03,111,1.0,2
17,Belize,8/1/20,8,4/11/20,1.0,14.0,112,2020-08-03,3,29.0,1
18,Benin,7/17/20,139,4/1/20,14.0,10.0,107,2020-08-03,18,5.0,4
19,Bhutan,6/7/20,11,5/12/20,1.0,8.0,26,2020-08-03,58,2.0,4
20,Bolivia,7/18/20,2036,3/16/20,1484.0,73.0,124,2020-08-03,17,2.0,2
21,Bosnia and Herzegovina,7/27/20,731,3/12/20,275.0,38.0,137,2020-08-03,8,8.0,1
22,Botswana,7/16/20,123,4/9/20,19.0,15.0,98,2020-08-03,19,4.0,3
23,Brazil,7/29/20,69074,3/6/20,43462.0,63.0,145,2020-08-03,6,6.0,1
24,Brunei,3/13/20,26,3/11/20,1.0,4.0,2,2020-08-03,144,1.0,4
25,Bulgaria,7/9/20,330,3/13/20,228.0,69.0,118,2020-08-03,26,1.0,2
26,Burkina Faso,4/11/20,41,3/16/20,7.0,16.0,26,2020-08-03,115,1.0,2
27,Burma,6/18/20,24,3/30/20,1.0,4.0,80,2020-08-03,47,2.0,4
28,Burundi,7/13/20,78,4/22/20,6.0,7.0,82,2020-08-03,22,4.0,4
29,Cabo Verde,7/16/20,114,4/14/20,36.0,31.0,93,2020-08-03,19,4.0,3
30,Cambodia,3/22/20,31,3/17/20,5.0,15.0,5,2020-08-03,135,1.0,2
31,Cameroon,7/7/20,2324,3/19/20,73.0,3.0,110,2020-08-03,28,3.0,4
32,Canada,4/5/20,2778,2/25/20,454.0,16.0,40,2020-08-03,121,1.0,2
33,Central African Republic,6/8/20,216,4/13/20,9.0,4.0,56,2020-08-03,57,2.0,4
34,Chad,5/7/20,83,4/9/20,3.0,4.0,28,2020-08-03,89,1.0,4
