,Province_State,peak_Date,peak_value,initial_Date,avg,percent_of_peak,days_to_peak,today,days_since_peak,down_rate,cluster
0,Andaman and Nicobar Islands,08/17/20,4.0,08/05/20,1.0,35.0,12,2020-08-18,2,32.0,1
1,Andhra Pradesh,08/09/20,97.0,04/16/20,84.0,86.0,115,2020-08-18,10,1.0,1
2,Arunachal Pradesh,06/26/20,1.0,01/30/20,0.0,13.0,148,2020-08-18,54,2.0,2
3,Assam,07/12/20,8.0,06/30/20,6.0,77.0,12,2020-08-18,38,1.0,2
4,Bihar,08/03/20,20.0,05/22/20,9.0,46.0,73,2020-08-18,16,3.0,3
5,Cases being reassigned to states,01/30/20,0.0,01/30/20,1.0,,0,2020-08-18,202,,1
6,Chandigarh,08/02/20,3.0,07/16/20,1.0,24.0,17,2020-08-18,17,4.0,3
7,Chhattisgarh,08/15/20,16.0,06/21/20,6.0,38.0,55,2020-08-18,4,15.0,1
8,Dadar Nagar Haveli,01/30/20,0.0,01/30/20,1.0,,0,2020-08-18,202,,1
9,Dadra and Nagar Haveli and Daman and Diu,07/14/20,1.0,01/30/20,1.0,100.0,166,2020-08-18,36,0.0,2
10,Daman & Diu,01/30/20,0.0,01/30/20,1.0,,0,2020-08-18,202,,1
11,Delhi,06/17/20,437.0,04/10/20,14.0,3.0,68,2020-08-18,63,2.0,4
12,Goa,08/18/20,7.0,07/12/20,4.0,55.0,37,2020-08-18,1,45.0,1
13,Gujarat,05/06/20,49.0,04/05/20,21.0,43.0,31,2020-08-18,105,1.0,2
14,Haryana,06/17/20,18.0,05/12/20,8.0,43.0,36,2020-08-18,63,1.0,2
15,Himachal Pradesh,05/26/20,2.0,07/05/20,0.0,17.0,-40,2020-08-18,85,1.0,2
16,Jammu and Kashmir,07/31/20,17.0,05/14/20,10.0,60.0,78,2020-08-18,19,2.0,3
17,Jharkhand,08/10/20,22.0,06/19/20,9.0,40.0,52,2020-08-18,9,7.0,1
18,Karnataka,08/17/20,116.0,04/15/20,104.0,90.0,124,2020-08-18,2,5.0,1
19,Kerala,08/18/20,13.0,06/03/20,6.0,45.0,76,2020-08-18,1,55.0,1
20,Ladakh,08/17/20,4.0,08/17/20,0.0,12.0,0,2020-08-18,2,44.0,1
21,Madhya Pradesh,08/18/20,23.0,04/07/20,16.0,70.0,133,2020-08-18,1,30.0,1
22,Maharashtra,06/17/20,1409.0,04/02/20,313.0,22.0,76,2020-08-18,63,1.0,2
23,Manipur,07/31/20,4.0,08/09/20,1.0,17.0,-9,2020-08-18,19,4.0,3
24,Meghalaya,07/21/20,2.0,01/30/20,0.0,3.0,173,2020-08-18,29,3.0,4
25,Mizoram,01/30/20,0.0,01/30/20,1.0,,0,2020-08-18,202,,1
26,Nagaland,07/26/20,3.0,01/30/20,0.0,7.0,178,2020-08-18,24,4.0,4
27,Odisha,08/11/20,14.0,06/15/20,10.0,74.0,57,2020-08-18,8,3.0,1
28,Puducherry,08/06/20,7.0,07/01/20,4.0,59.0,36,2020-08-18,13,3.0,1
29,Punjab,08/18/20,51.0,04/10/20,29.0,58.0,130,2020-08-18,1,42.0,1
30,Rajasthan,08/05/20,17.0,04/17/20,12.0,72.0,110,2020-08-18,14,2.0,1
31,Sikkim,07/28/20,1.0,01/30/20,1.0,100.0,180,2020-08-18,22,0.0,2
32,Tamil Nadu,07/23/20,518.0,04/13/20,117.0,23.0,101,2020-08-18,27,3.0,3
33,Telangana,07/27/20,463.0,06/12/20,1.0,0.0,45,2020-08-18,23,4.0,4
34,Telangana***,07/26/20,455.0,07/26/20,1.0,0.0,0,2020-08-18,24,4.0,4
35,Telengana,07/30/20,492.0,04/13/20,11.0,2.0,108,2020-08-18,20,5.0,4
36,Telengana***,07/29/20,480.0,07/29/20,1.0,0.0,0,2020-08-18,21,5.0,4
37,Tripura,08/07/20,5.0,07/25/20,2.0,47.0,13,2020-08-18,12,4.0,1
38,Unassigned,01/30/20,0.0,01/30/20,1.0,,0,2020-08-18,202,,1
39,Uttar Pradesh,08/18/20,66.0,04/15/20,52.0,79.0,125,2020-08-18,1,21.0,1
40,Uttarakhand,08/08/20,14.0,06/06/20,5.0,34.0,63,2020-08-18,11,6.0,1
41,West Bengal,05/05/20,98.0,04/19/20,53.0,54.0,16,2020-08-18,106,0.0,2
